Rank,Score,Type,ID,Name,Description
8494,-93.92,kd,CGS001-22841,RAB11FIP2,-
8493,-93.72,kd,CGS001-4352,MPL,Prolactin receptor family
8492,-93.66,cp,BRD-K15791587,L-733060,Tachykinin antagonist
8491,-93.59,kd,CGS001-29775,CARD10,-
8490,-93.34,oe,ccsbBroad304_07272,PPAP2B,Lipid phosphate phosphatases
8489,-93.15,cp,BRD-K81418486,vorinostat,HDAC inhibitor
8488,-93.13,cp,BRD-K69840642,ISOX,HDAC inhibitor
8487,-93.07,cp,BRD-A39646320,HC-toxin,HDAC inhibitor
8486,-93.01,oe,ccsbBroad304_01579,SOX2,SRY (sex determining region Y)-boxes
8485,-92.96,cp,BRD-K68756823,FR-180204,-666
8483,-92.93,oe,ccsbBroad304_06847,RBBP4,WD repeat domain containing
8484,-92.93,kd,CGS001-80025,PANK2,-
8482,-92.91,oe,ccsbBroad304_01540,SLC2A1,Solute carriers
8481,-92.88,kd,CGS001-639,PRDM1,"Zinc fingers, C2H2-type"
8480,-92.67,kd,CGS001-3459,IFNGR1,Interferon receptor family
8479,-92.61,cc,,NADH ubiquinone oxidoreductase supernumerary subunits LOF,-
8478,-92.58,kd,CGS001-200734,SPRED2,-
8477,-92.57,cp,BRD-K94176593,TWS-119,Glycogen synthase kinase inhibitor
8476,-92.52,cp,BRD-A81795050,U-18666A,Oxidosqualene cyclase inhibitor
8474,-92.45,kd,CGS001-55033,FKBP14,EF-hand domain containing
8475,-92.45,kd,CGS001-159,ADSS,-
8473,-92.39,kd,CGS001-51478,HSD17B7,Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 2
8472,-92.36,cp,BRD-K23875128,RHO-kinase-inhibitor-III[rockout],Rho associated kinase inhibitor
8471,-92.35,cp,BRD-K52522949,NCH-51,HDAC inhibitor
8470,-92.34,cp,BRD-K03319035,maprotiline,Norepinephrine reuptake inhibitor
8469,-92.3,kd,CGS001-10919,EHMT2,Histone methyltransferases
8468,-92.24,cp,BRD-K99964838,bosutinib,ABL inhibitor
8467,-92.15,kd,CGS001-7625,ZNF74,"Zinc fingers, C2H2-type"
8466,-92.02,kd,CGS001-91137,SLC25A46,Miscellaneous SLC25 mitochondrial transporters
8465,-92.01,cc,,Tricyclic antidepressant,-
8464,-92,kd,CGS001-2589,GALNT1,Glycosyltransferase family 2 domain containing
8463,-91.97,cp,BRD-K33583600,isoliquiritigenin,Guanylate cyclase activator
8462,-91.95,cp,BRD-K89732114,trifluoperazine,Dopamine receptor antagonist
8461,-91.87,kd,CGS001-2130,EWSR1,RNA binding motif (RRM) containing
8460,-91.81,cp,BRD-K61314889,IWR-1-ENDO,PARP inhibitor
8459,-91.73,cp,BRD-K11558771,droxinostat,HDAC inhibitor
8458,-91.69,cp,BRD-K85503079,perospirone,Dopamine receptor antagonist
8457,-91.67,kd,CGS001-7433,VIPR1,GPCR / Class B : VIP and PACAP (ADCYAP1) receptors
8456,-91.56,kd,CGS001-6453,ITSN1,Rho guanine nucleotide exchange factors
8455,-91.43,cp,BRD-K22503835,scriptaid,HDAC inhibitor
8454,-91.42,cp,BRD-K80527266,triacsin-c,Adrenergic receptor antagonist
8453,-91.41,kd,CGS001-65057,ACD,-
8452,-91.39,oe,ccsbBroad304_00529,F3,CD molecules
8451,-91.22,kd,CGS001-8859,STK19,G11 family
8450,-91.21,cp,BRD-K50720187,flupirtine,Glutamate receptor antagonist
8449,-91.13,kd,CGS001-1806,DPYD,-
8448,-91.05,kd,CGS001-6397,SEC14L1,-
8447,-91,kd,CGS001-9918,NCAPD2,-
8446,-90.75,kd,CGS001-6794,STK11,LKB subfamily
8445,-90.56,cp,BRD-K41160163,fenobam,Glutamate receptor antagonist
8444,-90.44,cp,BRD-A18579359,wiskostatin,Neural Wiskott-Aldrich syndrome protein inhibitor
8443,-90.41,kd,CGS001-6767,ST13,Tetratricopeptide (TTC) repeat domain containing
8442,-90.2,oe,ccsbBroad304_02138,TRIP10,-
8440,-90.18,kd,CGS001-2959,GTF2B,General transcription factors
8441,-90.18,cp,BRD-A16311756,profenamine,Butyrylcholinesterase inhibitor
8439,-90.05,kd,CGS001-3030,HADHA,-
370,90.23,kd,CGS001-38,ACAT1,Lanosterol biosynthesis pathway
8437,-89.83,cp,BRD-K95785537,PP-2,SRC inhibitor
369,90.25,kd,CGS001-51375,SNX7,Sorting nexins
368,90.29,kd,CGS001-9019,MPZL1,Immunoglobulin superfamily / V-set domain containing
367,90.31,kd,CGS001-9296,ATP6V1F,ATPases / V-type
8433,-89.64,cp,BRD-K43389675,daunorubicin,RNA synthesis inhibitor
8432,-89.56,cp,BRD-K05804044,AZ-628,RAF inhibitor
366,90.33,kd,CGS001-1955,MEGF9,-
8430,-89.46,cp,BRD-K12502280,TG-101348,FLT3 inhibitor
8429,-88.81,cp,BRD-K06980535,promazine,Dopamine receptor antagonist
8428,-88.75,cp,BRD-A42553870,L-152804,Neuropeptide receptor antagonist
8427,-88.62,cp,BRD-K50387473,XMD-892,MAP kinase inhibitor
8426,-88.58,cp,BRD-K27737647,H-89,PKA inhibitor
364,90.47,kd,CGS001-10014,HDAC5,Histone deacetylases
8424,-87.95,cp,BRD-K84996949,sinensetin,Cyclooxygenase inhibitor
362,90.68,kd,CGS001-7511,XPNPEP1,Methionyl aminopeptidase
360,90.79,oe,ccsbBroad304_06681,P2RY2,"GPCR / Class A : Purinergic receptors, P2Y"
359,90.86,kd,CGS001-5373,PMM2,-
8420,-87.72,cp,BRD-K87909389,alvocidib,CDK inhibitor
358,90.92,kd,CGS001-29911,HOOK2,-
357,90.96,kd,CGS001-6723,SRM,-
8417,-87.4,cp,BRD-K20285085,fostamatinib,SYK inhibitor
356,90.97,oe,ccsbBroad304_07079,TSPAN4,Tetraspanins
8415,-86.77,cp,BRD-K17743125,belinostat,HDAC inhibitor
353,91.13,oe,ccsbBroad304_06539,LSS,Lanosterol biosynthesis pathway
351,91.19,kd,CGS001-6203,RPS9,S ribosomal proteins
8412,-86.67,cp,BRD-K91263825,nortriptyline,Tricyclic antidepressant
350,91.21,kd,CGS001-1019,CDK4,"Cyclin-dependent kinases, CDK4 subfamily"
348,91.23,kd,CGS001-10482,NXF1,-
8409,-86.56,cp,BRD-K61250553,loperamide,Opioid receptor agonist
349,91.23,kd,CGS001-2936,GSR,Oxidoreductases
347,91.24,oe,ccsbBroad304_06648,CNOT3,-
8406,-86.31,cp,BRD-K84085265,CG-930,JNK inhibitor
344,91.29,kd,CGS001-51586,MED15,-
8404,-85.92,cp,BRD-K64857848,XMD-885,Leucine rich repeat kinase inhibitor
8403,-85.65,cp,BRD-K00312224,PPT,Estrogen receptor agonist
342,91.34,kd,CGS001-8894,EIF2S2,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"
8400,-85.6,cp,BRD-K17743697,KB-R7943,Sodium/calcium exchange inhibitor
343,91.34,kd,CGS001-100,ADA,Adenosine turnover
340,91.37,kd,CGS001-10681,GNB5,WD repeat domain containing
338,91.47,oe,ccsbBroad304_06753,POU5F1,Homeoboxes / POU class
8397,-85.25,cp,BRD-A31159102,fluoxetine,Selective serotonin reuptake inhibitor (SSRI)
337,91.49,kd,CGS001-440387,CTRB2,-
335,91.53,oe,ccsbBroad304_04616,ORMDL3,-
8394,-85.07,cc,,Leucine rich repeat kinase inhibitor,-
336,91.53,kd,CGS001-6584,SLC22A5,Organic zwitterions/cation transporters (OCTN)
8392,-85,cp,BRD-K47598052,PP-1,SRC inhibitor
333,91.69,kd,CGS001-83743,GRWD1,WD repeat domain containing
332,91.75,oe,ccsbBroad304_01150,PCCB,Carboxylases
328,91.84,kd,CGS001-6632,SNRPD1,-
329,91.84,kd,CGS001-4245,MGAT1,-
327,91.86,oe,ccsbBroad304_00272,CDC25A,Protein tyrosine phosphatases / Class III Cys-based PTPs
326,91.97,kd,CGS001-2063,NR2F6,COUP-TF-like receptors
325,91.98,kd,CGS001-80351,TNKS2,Ankyrin repeat domain containing
319,92.23,kd,CGS001-5019,OXCT1,-
318,92.27,kd,CGS001-6657,SOX2,SRY (sex determining region Y)-boxes
317,92.33,kd,CGS001-23658,LSM5,-
8381,-84.08,cc,,HDAC inhibitor,-
313,92.46,kd,CGS001-10112,KIF20A,Kinesins
312,92.49,kd,CGS001-51727,CMPK1,-
309,92.64,kd,CGS001-6646,SOAT1,-
8377,-83.41,cp,BRD-K01436366,XMD-1150,Leucine rich repeat kinase inhibitor
306,92.69,oe,ccsbBroad304_00477,LPAR1,GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid
8375,-83.1,cp,BRD-K81376179,TCS-359,FLT3 inhibitor
8374,-82.96,cp,BRD-K18787491,U-0126,MEK inhibitor
8373,-82.94,cp,BRD-K51485625,ritonavir,HIV protease inhibitor
8372,-82.68,cp,BRD-K82941592,rosuvastatin,HMGCR inhibitor
8371,-82.65,cp,BRD-K12867552,THM-I-94,HDAC inhibitor
302,92.76,kd,CGS001-9275,BCL7B,-
301,92.85,kd,CGS001-7157,TP53,-
300,92.86,kd,CGS001-10868,USP20,Ubiquitin-specific peptidases
295,93.09,kd,CGS001-7267,TTC3,RING-type (C3HC4) zinc fingers
293,93.1,kd,CGS001-10285,SMNDC1,Tudor domain containing
294,93.1,oe,ccsbBroad304_00602,SLC37A4,SLC37 family of phosphosugar/phosphate exchangers
290,93.27,kd,CGS001-8986,RPS6KA4,MSK subfamily
289,93.28,kd,CGS001-513,ATP5D,ATPases / F-type
287,93.34,oe,ccsbBroad304_00088,FASLG,Tumour necrosis factor (TNF) receptor family
286,93.38,kd,CGS001-308,ANXA5,Annexins
283,93.49,kd,CGS001-8649,LAMTOR3,-
281,93.51,oe,ccsbBroad304_01186,PHB,-
8358,-81.34,cp,BRD-K11663430,pyroxamide,HDAC inhibitor
276,93.73,kd,CGS001-8349,HIST2H2BE,Histones / Replication-dependent
272,93.89,kd,CGS001-5257,PHKB,-
271,93.94,kd,CGS001-8607,RUVBL1,ATPases / AAA-type
8354,-80.75,cc,,Integrin subunits beta LOF,-
8353,-80.71,cp,BRD-K69650333,idarubicin,Topoisomerase inhibitor
270,93.96,kd,CGS001-50814,NSDHL,Short chain dehydrogenase/reductase superfamily / Extended SDR fold
269,93.98,kd,CGS001-9308,CD83,CD molecules
267,94.03,kd,CGS001-4191,MDH2,-
264,94.12,oe,ccsbBroad304_03232,VPS28,-
263,94.13,kd,CGS001-64746,ACBD3,A-kinase anchor proteins
260,94.27,kd,CGS001-7272,TTK,TTK family
259,94.45,kd,CGS001-8878,SQSTM1,-
258,94.46,oe,ccsbBroad304_00771,HOXA5,Homeoboxes / ANTP class : HOXL subclass
253,94.61,kd,CGS001-2067,ERCC1,-
254,94.61,oe,ccsbBroad304_05390,DUSP28,Protein tyrosine phosphatases / Class I Cys-based PTPs : Atypical dual specificity phosphatases
249,94.7,kd,CGS001-5910,RAP1GDS1,Armadillo repeat containing
246,94.82,kd,CGS001-6772,STAT1,SH2 domain containing
8340,-79.57,cp,BRD-K15588452,R-96544,Serotonin receptor antagonist
247,94.82,kd,CGS001-9031,BAZ1B,"Zinc fingers, PHD-type"
244,94.91,oe,ccsbBroad304_00879,IRAK2,Interleukin-1 receptor-associated kinase (IRAK) family
243,94.93,kd,CGS001-23161,SNX13,Sorting nexins
8336,-78.93,cp,BRD-K49404994,levetiracetam,Calcium channel blocker
242,94.99,kd,CGS001-3326,HSP90AB1,Heat shock proteins / HSPC
241,95.02,kd,CGS001-10298,PAK4,PAKB subfamily
239,95.06,kd,CGS001-501,ALDH7A1,Aldehyde dehydrogenases
238,95.08,kd,CGS001-5981,RFC1,ATPases / AAA-type
235,95.18,kd,CGS001-2853,GPR31,GPCR / Class A : Orphans
233,95.2,kd,CGS001-54472,TOLLIP,-
232,95.21,oe,ccsbBroad304_07117,UGCG,Glycosyltransferase family 2 domain containing
224,95.38,kd,CGS001-1528,CYB5A,Cytochrome b genes
222,95.4,kd,CGS001-2673,GFPT1,-
220,95.43,kd,CGS001-6196,RPS6KA2,RSK subfamily
218,95.46,kd,CGS001-4771,NF2,A-kinase anchor proteins
216,95.47,kd,CGS001-1314,COPA,Endogenous ligands
8323,-77.63,cp,BRD-K56957086,dacinostat,HDAC inhibitor
8321,-77.52,cp,BRD-K50168500,canertinib,EGFR inhibitor
215,95.5,kd,CGS001-283455,KSR2,RAF family
211,95.63,kd,CGS001-11157,LSM6,-
207,95.71,kd,CGS001-29110,TBK1,IKK family
206,95.72,kd,CGS001-79094,CHAC1,-
204,95.75,oe,ccsbBroad304_01203,PIM1,PIM family
8316,-77.21,cp,BRD-K49328571,dasatinib,BCR-ABL kinase inhibitor
200,95.82,kd,CGS001-6938,TCF12,Basic helix-loop-helix proteins
198,95.86,kd,CGS001-2184,FAH,-
8312,-77.05,cp,BRD-K46441700,GR-55562,Serotonin receptor antagonist
196,95.91,kd,CGS001-6428,SRSF3,RNA binding motif (RRM) containing
192,95.98,kd,CGS001-10525,HYOU1,Heat shock proteins / HSP70
191,95.99,kd,CGS001-4726,NDUFS6,Mitochondrial respiratory chain complex / Complex I
8309,-76.66,cp,BRD-K85606544,neratinib,EGFR inhibitor
187,96.11,kd,CGS001-4323,MMP14,Matrix metallopeptidase
184,96.14,kd,CGS001-1643,DDB2,WD repeat domain containing
8306,-76.47,cp,BRD-K19796430,erismodegib,Smoothened receptor antagonist
8305,-76.37,cp,BRD-K93095519,SJ-172550,MDM inhibitor
183,96.16,oe,ccsbBroad304_01291,MAP2K6,MAPKK:STE7 family
181,96.18,kd,CGS001-9016,SLC25A14,Mitochondrial uncoupling proteins
182,96.18,kd,CGS001-5531,PPP4C,"Serine/threonine phosphatases / Protein phosphatase, catalytic subunits"
8301,-76.2,cp,BRD-K93201660,ML-7,Myosin light chain kinase inhibitor
179,96.24,kd,CGS001-81550,TDRD3,Tudor domain containing
8299,-75.51,cp,BRD-K22009844,phenprobamate,Muscle relaxant
8298,-75.49,cp,BRD-K19352500,prochlorperazine,Dopamine receptor antagonist
178,96.26,kd,CGS001-4048,LTA4H,Hydrolases
177,96.36,kd,CGS001-204,AK2,Adenylate kinases
173,96.42,kd,CGS001-23200,ATP11B,Phospholipid-transporting ATPases
172,96.43,kd,CGS001-4782,NFIC,-
169,96.49,kd,CGS001-64170,CARD9,-
8292,-75.07,cc,,Norepinephrine reuptake inhibitor,-
164,96.6,kd,CGS001-23012,STK38L,NDR family
163,96.61,kd,CGS001-6233,RPS27A,S ribosomal proteins
162,96.63,kd,CGS001-79006,METRN,-
161,96.71,kd,CGS001-55031,USP47,Ubiquitin-specific peptidases
160,96.73,kd,CGS001-29890,RBM15B,RNA binding motif (RRM) containing
157,96.83,kd,CGS001-1871,E2F3,-
156,96.89,kd,CGS001-6259,RYK,Type XV RTKs: RYK
154,96.93,kd,CGS001-3125,HLA-DRB3,Immunoglobulin superfamily / C1-set domain containing
150,97,kd,CGS001-8644,AKR1C3,Prostaglandin synthases
8282,-74.09,cp,BRD-K11927976,ER-27319,Mediator release inhibitor
146,97.08,kd,CGS001-19,ABCA1,ATP binding cassette transporters / subfamily A
145,97.14,kd,CGS001-9276,COPB2,WD repeat domain containing
8279,-73.95,cp,BRD-M07438658,lapatinib,EGFR inhibitor
139,97.31,oe,ccsbBroad304_01093,NFKBIA,Ankyrin repeat domain containing
8277,-73.83,cp,BRD-A09467419,mebeverine,Acetylcholine receptor antagonist
138,97.32,kd,CGS001-55422,ZNF331,"Zinc fingers, C2H2-type"
8275,-73.67,cp,BRD-K77625572,etomoxir,Carnitine palmitoyltransferase inhibitor
137,97.36,kd,CGS001-3482,IGF2R,CD molecules
136,97.37,kd,CGS001-7477,WNT7B,Endogenous ligands
8272,-72.98,cp,BRD-K01192156,tyrphostin-AG-112,Protein tyrosine kinase inhibitor
133,97.51,kd,CGS001-10381,TUBB3,Tubulins
131,97.53,kd,CGS001-51385,ZNF589,"Zinc fingers, C2H2-type"
129,97.55,kd,CGS001-57616,TSHZ3,Teashirt zinc fingers
8268,-72.64,cp,BRD-K79090631,CGP-60474,CDK inhibitor
128,97.56,kd,CGS001-5184,PEPD,Methionyl aminopeptidase
8266,-72.43,cp,BRD-K99818283,PIK-90,PI3K inhibitor
8265,-72.32,cp,BRD-K60762818,desipramine,Tricyclic antidepressant
8264,-72.2,cp,BRD-K04210847,tamoxifen,Estrogen receptor antagonist
127,97.57,kd,CGS001-26472,PPP1R14B,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"
126,97.6,kd,CGS001-7297,TYK2,Janus kinase (JakA) family
8261,-71.85,cp,BRD-K38615104,A-443644,AKT inhibitor
124,97.7,oe,ccsbBroad304_02012,FADD,-
123,97.81,kd,CGS001-50604,IL20,Interleukins and interleukin receptors
121,97.9,kd,CGS001-25803,SPDEF,ETS Transcription Factors
8257,-71.41,cp,BRD-A49225603,alimemazine,Histamine receptor agonist
120,97.92,kd,CGS001-1611,DAP,-
118,97.93,oe,ccsbBroad304_00532,F11,Chymotrypsin
117,98.02,kd,CGS001-6241,RRM2,Ribonucleoside-diphosphate reductases
114,98.08,kd,CGS001-4267,CD99,CD molecules
8252,-71.13,cp,BRD-A84493640,atovaquone,Mitochondrial electron transport inhibitor
111,98.11,kd,CGS001-23224,SYNE2,-
110,98.16,kd,CGS001-50810,HDGFRP3,-
107,98.21,kd,CGS001-1874,E2F4,-
8248,-70.81,cp,BRD-K99545815,PF-562271,Focal adhesion kinase inhibitor
106,98.26,kd,CGS001-5654,HTRA1,Serine peptidases / Serine peptidases
105,98.27,kd,CGS001-10267,RAMP1,Receptor (G protein-coupled) activity modifying proteins
8245,-70.57,cp,BRD-K83010055,VU-0415374-1,Glutamate receptor modulator
8244,-70.29,cp,BRD-K39944607,ochratoxin-a,Phenylalanyl tRNA synthetase inhibitor
8243,-70.28,cp,BRD-K44084986,Y-27632,Rho associated kinase inhibitor
8242,-70.22,cp,BRD-K59058766,chlorprothixene,Dopamine receptor antagonist
8241,-70.14,cp,BRD-K35430135,SR-59230A,Adrenergic receptor antagonist
103,98.34,kd,CGS001-22949,PTGR1,-
101,98.35,kd,CGS001-55837,EAPP,-
99,98.36,kd,CGS001-55604,LRRC16A,-
100,98.36,kd,CGS001-1329,COX5B,Mitochondrial respiratory chain complex
373,89.89,kd,CGS001-5423,POLB,DNA polymerases
374,89.83,kd,CGS001-84634,KISS1R,GPCR / Class A : RF amide peptide receptors
8233,-69.74,cp,BRD-K20742498,RS-39604,Serotonin receptor antagonist
375,89.83,oe,ccsbBroad304_06028,CPE,Carboxypeptidase A
8232,-69.73,cp,BRD-A15530910,carpindolol,Adrenergic receptor antagonist
377,89.63,kd,CGS001-984,CDK11B,"Cyclin-dependent kinases, PITSLRE subfamily"
378,89.56,kd,CGS001-5073,PARN,-
379,89.48,kd,CGS001-103,ADAR,-
380,89.46,oe,ccsbBroad304_07851,FAM120A,-
382,89.44,kd,CGS001-3784,KCNQ1,Voltage-gated potassium channels
383,89.2,kd,CGS001-8480,RAE1,WD repeat domain containing
8224,-69.04,cp,BRD-K38305202,domperidone,Dopamine receptor antagonist
384,89.18,kd,CGS001-10099,TSPAN3,Tetraspanins
385,89.18,kd,CGS001-54555,DDX49,DEAD-boxes
8221,-69,cp,BRD-K41859756,NVP-AUY922,HSP inhibitor
386,89.18,kd,CGS001-10109,ARPC2,Actin related protein 2/3 complex subunits
388,89.15,kd,CGS001-57178,ZMIZ1,"Zinc fingers, MIZ-type"
389,89.1,kd,CGS001-64858,DCLRE1B,-
391,89.08,kd,CGS001-3017,HIST1H2BD,Histones / Replication-dependent
392,89.02,kd,CGS001-9146,HGS,"Zinc fingers, FYVE domain containing"
8216,-68.52,cp,BRD-K06543683,bisindolylmaleimide-ix,CDK inhibitor
8215,-68.38,cp,BRD-K04548931,pidorubicine,Topoisomerase inhibitor
8214,-68.34,cp,BRD-K78084463,W-12,Calmodulin antagonist
393,89.01,kd,CGS001-55234,SMU1,WD repeat domain containing
394,88.99,kd,CGS001-3656,IRAK2,Interleukin-1 receptor-associated kinase (IRAK) family
395,88.91,kd,CGS001-5578,PRKCA,Delta subfamily
396,88.9,kd,CGS001-79712,GTDC1,Glycosyltransferase group 1 domain containing
397,88.77,oe,ccsbBroad304_01676,TLE1,WD repeat domain containing
398,88.76,kd,CGS001-5608,MAP2K6,MAPKK:STE7 family
399,88.75,oe,ccsbBroad304_03864,OVOL2,"Zinc fingers, C2H2-type"
8206,-67.35,cp,BRD-K94441233,mevastatin,HMGCR inhibitor
404,88.59,oe,ccsbBroad304_02340,SORBS3,-
405,88.51,kd,CGS001-2355,FOSL2,basic leucine zipper proteins
406,88.51,kd,CGS001-8667,EIF3H,-
407,88.5,oe,ccsbBroad304_05982,CDX2,Homeoboxes / ANTP class : HOXL subclass
8201,-67.07,cp,BRD-K47659338,EMD-386088,Serotonin receptor agonist
408,88.49,oe,ccsbBroad304_07124,UROD,-
409,88.45,kd,CGS001-7468,WHSC1,"Zinc fingers, PHD-type"
8198,-66.82,cp,BRD-K46056750,AZD-7762,CHK inhibitor
410,88.35,kd,CGS001-4172,MCM3,-
411,88.29,kd,CGS001-51776,ZAK,MLK subfamily
412,88.26,kd,CGS001-22938,SNW1,-
413,88.22,kd,CGS001-51593,SRRT,-
8193,-66.35,cp,BRD-K33483813,actarit,Interleukin receptor agonist
414,88.18,kd,CGS001-819,CAMLG,-
8192,-66.2,cp,BRD-K00317371,RITA,MDM inhibitor
8190,-66.16,cp,BRD-K74501079,azithromycin,Bacterial 50S ribosomal subunit inhibitor
415,88.1,oe,ccsbBroad304_10064,NDUFS7,Mitochondrial respiratory chain complex / Complex I
416,88.08,oe,ccsbBroad304_01013,MIF,-
417,88.07,kd,CGS001-3718,JAK3,Janus kinase (JakA) family
418,88.06,kd,CGS001-27333,GOLIM4,-
420,88.03,kd,CGS001-6676,SPAG4,-
421,88.02,kd,CGS001-5689,PSMB1,Proteasome subunits
422,87.91,oe,ccsbBroad304_02708,TRIM32,-
8182,-65.65,cp,BRD-K29178788,dictamnine,Furoquinoline alkaloid
423,87.7,kd,CGS001-23405,DICER1,-
424,87.69,kd,CGS001-79142,PHF23,"Zinc fingers, PHD-type"
425,87.65,kd,CGS001-10491,CRTAP,-
426,87.57,oe,ccsbBroad304_07569,TRIB1,Trbl family
427,87.55,oe,ccsbBroad304_00430,GADD45A,-
428,87.54,kd,CGS001-7415,VCP,ATPases / AAA-type
429,87.53,kd,CGS001-831,CAST,-
430,87.47,kd,CGS001-1747,DLX3,Homeoboxes / ANTP class : NKL subclass
433,87.38,kd,CGS001-3800,KIF5C,Kinesins
434,87.37,kd,CGS001-39,ACAT2,Lanosterol biosynthesis pathway
435,87.36,oe,ccsbBroad304_00564,FGR,Src family
436,87.35,kd,CGS001-4849,CNOT3,-
437,87.33,oe,ccsbBroad304_00496,ELF4,ETS Transcription Factors
439,87.2,kd,CGS001-5547,PRCP,Lysosomal Pro-Xaa carboxypeptidase
441,87.16,kd,CGS001-5584,PRKCI,Iota subfamily
8166,-64.48,cp,BRD-K40892394,AR-C133057XX,Nitric oxide synthase inhibitor
